Year,Rank,Title,Artist,First Feature,Second Feature,Genres,Duration,Popularity,Spotify ID
2013,69,Crash My Party,Luke Bryan,,,"country, acoustic country",3:54,61,6GBUsjHfZuweYf5lQEz6mP
2013,70,Pour It Up,Rihanna,,,,2:41,65,76VtA90NKurNqaQpV126Ue
2013,71,22 (Taylor's Version),Taylor Swift,,,,3:50,71,3yII7UwgLF6K5zW3xad3MP
2013,72,I Want Crazy - Encore,Hunter Hayes,,,country,3:56,56,4FkgULes13bk2eHrsJg4q9
2013,73,The Fox (What Does the Fox Say?),Ylvis,,,,3:33,62,5HOpkTTVcmZHnthgyxrIL8
2013,74,Best Song Ever,One Direction,,,,3:20,76,5T7ZFtCcOgkpjxcuaeZbw0
2013,75,The A Team,Ed Sheeran,,,soft pop,4:18,70,1VdZ0vKfR5jneCmWIUAMxK
2013,76,Carry on Wayward Son,Kansas,,,"classic rock, progressive rock, album rock",5:23,73,4DMKwE2E2iYDKY01C335Uw
2013,77,Highway Don't Care,Tim McGraw,Taylor Swift,Keith Urban,country,4:36,63,4wFUdSCer8bdQsrp1M90sa
2013,78,That's My Kind Of Night,Luke Bryan,,,"country, acoustic country",3:10,69,5HGibWoxnkYSkl6mHmAlOE
2013,79,Swimming Pools (Drank),Kendrick Lamar,,,"hip hop, west coast hip hop",4:07,77,6REbwUNlppTfcnV4d4ZoZi
2013,80,Sure Be Cool If You Did,Blake Shelton,,,country,3:35,51,5yIiXdLRE85OBiQmCaUenq
2013,81,#Beautiful,Mariah Carey,Miguel,,christmas,3:19,41,3HdsPs5Yk4aeVHV3ozRTop
2013,82,Troublemaker (feat. Flo Rida),Olly Murs,Flo Rida,,,3:05,75,6s8nHXTJVqFjXE4yVZPDHR
2013,83,Body Party,Ciara,,,,3:54,61,0rFZaQ4crlGAzuCjWCQ2xu
2013,84,Adorn,Miguel,,,r&b,3:13,68,25cUhiAod71TIQSNicOaW3
2013,85,Hall of Fame (feat. will.i.am),The Script,will.i.am,,,3:22,67,1X1DWw2pcNZ8zSub3uhlNz
2013,86,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,,,,4:11,66,4kte3OcW800TPvOVgrLLj8
2013,87,"U.O.E.N.O. (feat. Rick Ross, Future)",Rocko,,,southern hip hop,4:20,60,0HFrCOmhCYXlv4NdEwRAuj
