Year,Rank,Title,Artist,First Feature,Second Feature,Genres,Duration,Popularity,Spotify ID
2020,50,RITMO (Bad Boys For Life),Black Eyed Peas,J Balvin,,,3:41,67.0,6cy3ki60hLwimwIje7tALf
2020,51,Heart On Ice,Rod Wave,,,,2:39,67.0,591ks2A0o7ratTpiRdI7M6
2020,52,Nobody But You (Duet with Gwen Stefani),Blake Shelton,Gwen Stefani,,,3:14,59.0,5M8goiFYynmNxhueYW6grR
2020,53,Trampoline (with ZAYN),SHAED,ZAYN,,,3:04,66.0,2ez6qvOTHKeI3ss80NGqnI
2020,54,Come & Go (with Marshmello),Juice WRLD,Marshmello,,,3:25,75.0,2Y0wPrPQBrGhoLn14xRYCG
2020,55,Truth Hurts,Lizzo,,,,2:53,68.0,3HWzoMvoF3TQfYg4UPszDq
2020,56,If the World Was Ending (feat. Julia Michaels),JP Saxe,Julia Michaels,,,3:28,72.0,2kJwzbxV2ppxnQoYw4GLBZ
2020,57,We Paid (feat. 42 Dugg),Lil Baby,42 Dugg,,,3:01,70.0,6gxKUmycQX7uyMwJcweFjp
2020,58,Yummy,Justin Bieber,,,,3:28,66.0,16wAOAZ2OkqoIDN7TpChjR
2020,59,One Man Band,Old Dominion,,,,3:06,77.0,7cA3PnUQDlUyBBwpRozQeo
2020,60,Got What I Got,Jason Aldean,,,,2:58,62.0,4TCc369aRPRubv1m8R1TBG
2020,61,Sunday Best,Surfaces,,,,2:38,72.0,1qYKWcEOrh2tM8PlgIm8K1
2020,62,Godzilla (feat. Juice WRLD),Eminem,Juice WRLD,,,3:30,82.0,7FIWs0pqAYbP91WWM0vlTQ
2020,63,Bandit (with YoungBoy Never Broke Again),Juice WRLD,YoungBoy Never Broke Again,,,3:09,71.0,1oWM79mUVdZGCGYjSirHZR
2020,64,Party Girl,StaySolidRocky,,,,2:27,72.0,3IJYUaN3tx04S4TYyZHKoP
2020,65,Die From A Broken Heart,Maddie & Tae,,,,3:08,66.0,3DA4SE262k6rdEtlHteNyq
2020,66,POPSTAR (feat. Drake),DJ Khaled,Drake,,,3:20,65.0,6EDO9iiTtwNv6waLwa1UUq
2020,67,All I Want for Christmas Is You,Mariah Carey,,,,4:01,89.0,0bYg9bo50gSsH3LtXe2SQn
2020,68,One Of Them Girls,Lee Brice,,,,3:08,69.0,6uyiyatWPCqC59Mm4rO8xL
2020,69,Hard To Forget,Sam Hunt,,,,3:24,58.0,10xuH52YSXHWFwCaF1fsDd
2020,70,One Margarita,Luke Bryan,,,,3:13,62.0,1Y3TlYJNhIa7k4YAvFkJAB
2020,71,Panini,Lil Nas X,,,,1:54,62.0,6fTt0CH2t0mdeB2N9XFG5r
2020,72,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,Travis Scott,Gunna,,4:39,71.0,4ea9w8c4ROqiZpJVhfBA3m
2020,73,I Hope You’re Happy Now,Carly Pearce,Lee Brice,,,3:18,67.0,0Al3wN3keprGTSgG8NBwjr
2020,74,Emotionally Scarred,Lil Baby,,,,3:17,68.0,7ge7BHazYbVKi8qyZUX1Bm
2020,75,Suicidal (feat. Juice WRLD) - Remix,YNW Melly,Juice WRLD,,,3:45,71.0,4S2uhQE8L9V6p7rj7SiauJ
2020,76,The Bigger Picture,Lil Baby,,,,4:12,58.0,44gRhRi2OhEf7moAUj6MD1
2020,77,Only Human,Jonas Brothers,,,,3:03,67.0,0DiDStADDVh3SvAsoJAFMk
2020,78,The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,50 Cent,Roddy Ricch,,3:21,68.0,1H7KnK26kc1YyellpbINEn
2020,79,Sum 2 Prove,Lil Baby,,,,3:25,70.0,5f4Hy5mw5SRaUgXX9c6P5S
2020,80,Stuck with U (with Justin Bieber),Ariana Grande,Justin Bieber,,,3:48,78.0,4HBZA5flZLE435QTztThqH
2020,81,Mood Swings (feat. Lil Tjay),Pop Smoke,Lil Tjay,,,3:33,74.0,5rZlwNFl01HqLWBQGryKSm
2020,82,You should be sad,Halsey,,,,3:25,66.0,7lidXGPXPYLNThITAOTlkK
2020,83,Dior,Pop Smoke,,,,3:36,75.0,79s5XnCN4TJKTVMSmOx8Ep
2020,84,Supalonely,BENEE,Gus Dapperton,,,3:43,64.0,4nK5YrxbMGZstTLbvj6Gxw
2020,85,Even Though I'm Leaving,Luke Combs,,,,3:45,66.0,5Fhe63YOMZsGdB3CgCDuBi
2020,86,THE SCOTTS,THE SCOTTS,Travis Scott,Kid Cudi,,2:45,70.0,39Yp9wwQiSRIDOvrVg7mbk
2020,87,Juicy,Doja Cat,Tyga,,,3:23,66.0,7f5trao56t7sB7f14QDTmp
2020,88,Be Like That - feat. Swae Lee & Khalid,Kane Brown,Swae Lee,Khalid,,3:11,65.0,5f1joOtoMeyppIcJGZQvqJ
2020,89,Homesick,Kane Brown,,,,3:25,59.0,30RZAuEkYeDXvy46Iv6l7E
2020,90,Rags2Riches 2 (feat. Lil Baby),Rod Wave,Lil Baby,,,3:55,64.0,40TPiJpvwGIyvPjJMDTKfy
2020,91,Bluebird,Miranda Lambert,,,,3:29,61.0,0kPeZAyIhIfeZNrtfjJGDB
2020,92,Wishing Well,Juice WRLD,,,,3:14,78.0,2U5WueTLIK5WJLD7mvDODv
2020,93,Does To Me (feat. Eric Church),Luke Combs,Eric Church,,,3:43,65.0,0nGXi46VcQQ56ZJR428MKS
2020,94,P*$$Y Fairy (OTW),Jhené Aiko,,,,3:01,62.0,48KXAIruJ07kJVCWOGohMV
2020,95,ily (i love you baby) (feat. Emilee),Surf Mesa,Emilee,,,2:56,72.0,62aP9fBQKYKxi7PDXwcUAS
2020,96,More Than My Hometown,Morgan Wallen,,,,3:36,76.0,5OELUCYgOHKFAvCERnAvfS
2020,97,Lovin' On You,Luke Combs,,,,3:14,65.0,0nYvjcSlCgjcwogQAwIwNp
2020,98,Said Sum,Moneybagg Yo,,,,2:35,64.0,3sKz6Sd72K0ofPWcJPPk6H
2020,99,"Slide (Remix) (feat. Pop Smoke, A Boogie Wit da Hoodie & Chris Brown) (feat. Pop Smoke)",H.E.R.,A Boogie Wit da Hoodie,Chris Brown,,4:56,63.0,6MO2bfLHKykUgCChFdw91H
2020,100,Walk Em Down (feat. Roddy Ricch),NLE Choppa,Roddy Ricch,,,2:53,70.0,1Z0cZI0UzNbP9L8MzzGxqf
2021,1,Levitating (feat. DaBaby),Dua Lipa,DaBaby,,,3:23,80.0,5nujrmhLynf4yMoMtj8AQF
2021,2,Save Your Tears,The Weeknd,,,,3:35,83.0,5QO79kh1waicV47BqGRL3g
2021,3,Blinding Lights,The Weeknd,,,,3:20,87.0,0VjIjW4GlUZAMYd2vXMi3b
2021,4,Mood (feat. iann dior),24kGoldn,iann dior,,,2:20,78.0,4jPy3l0RUwlUI9T5XHBW2m
2021,5,good 4 u,Olivia Rodrigo,,,,2:58,81.0,4ZtFanR9U6ndgddUvNcjcG
2021,6,Kiss Me More (feat. SZA),Doja Cat,SZA,,,3:28,80.0,3DarAbFujv6eYNliUTyqtz
2021,7,Leave The Door Open,Bruno Mars,Anderson .Paak,Silk Sonic,,4:02,77.0,02VBYrHfVwfEWXk5DXyf0T
2021,8,drivers license,Olivia Rodrigo,,,,4:02,82.0,5wANPM4fQCJwkGd4rN57mH
2021,9,MONTERO (Call Me By Your Name),Lil Nas X,,,,2:17,75.0,1SC5rEoYDGUK4NfG82494W
2021,10,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,Daniel Caesar,Giveon,,3:18,77.0,4iJyoBOLtHqaGxP12qzhQI
2021,11,Butter,BTS,,,,2:44,72.0,6jjYDGxVJsWS0a5wlVF5vS
2021,12,STAY (with Justin Bieber),The Kid LAROI,Justin Bieber,,,2:21,82.0,567e29TDzLwZwfDuEpGTwo
2021,13,deja vu,Olivia Rodrigo,,,,3:35,82.0,6HU7h9RYOaPRFeh0R3UeAr
2021,14,positions,Ariana Grande,,,,2:52,78.0,35mvY5S1H3J2QZyna3TFe0
2021,15,Bad Habits,Ed Sheeran,,,,3:50,78.0,3rmo8F54jFF8OgYsqTxm5d
2021,16,Heat Waves,Glass Animals,,,,3:58,84.0,3USxtqRwSYz57Ewm6wWRMp
2021,17,WITHOUT YOU,The Kid LAROI,,,,2:41,71.0,1KMkcUvF7m3SDChDOa7i5L
2021,18,Forever After All,Luke Combs,,,,3:52,74.0,6IBcOGPsniK3Pso1wHIhew
2021,19,Go Crazy,Chris Brown,Young Thug,,,2:56,71.0,1IIKrJVP1C9N7iPtG6eOsK
