Year,Rank,Title,Artist,Spotify ID,Genres,Duration,Popularity
2007,25,Home,Edward Sharpe & The Magnetic Zeros,2x1jP9BexWtOKudvuUHbaD,,5:03,62
2007,26,My Love Mine All Mine,Mitski,3vkCueOmm7xQDoJ17W1Pm3,,2:17,87
2007,27,Stronger,Kanye West,0j2T0R9dR9qdJYsB7ciXhf,rap,5:11,79
2007,28,We Fly High - Ballin',Jim Jones,6itF8MROxH2MKs5oBuvUTz,,3:54,43
2007,29,U + Ur Hand,P!nk,1iOJQhxKSJ7dg3Dk03yPnl,,3:34,63
2007,30,Walk It Out,Unk,0JPntF36B28bSTUkjplyNd,"crunk, southern hip hop",2:53,59
2007,31,Beautiful Girls,Sean Kingston,1hGy2eLcmC8eKx7qr1tOqx,,3:45,78
2007,32,"This Ain't A Scene, It's An Arms Race",Fall Out Boy,1oagRT7LfpVlNJN6FSZDGp,"emo, pop punk",3:32,69
2007,33,Bartender Song (Sittin' At A Bar) - Alt/Rock Mix,Rehab,1gewemPOUilb21s7CfMS55,country hip hop,3:49,59
2007,34,"Pop, Lock & Drop It",Huey,19UUPNx5jccGgQ2GCIZkww,crunk,4:23,47
2007,35,Runaway Love,Linda Clifford,5gkmXJ8Jgwb1eRBNXj8Ufh,post-disco,9:48,20
2007,36,Rockstar,Nickelback,6n9yCXvLhnYMgJIiIcMu7D,"post-grunge, rock",4:12,62
2007,37,Thnks fr th Mmrs,Fall Out Boy,3Zwu2K0Qa5sT6teCCHPShP,"emo, pop punk",3:23,77
2007,38,What I've Done,Linkin Park,18lR4BzEs7e3qzc0KVkTpU,"nu metal, rap metal, rock, alternative metal",3:25,80
2007,39,Summer Love,Justin Timberlake,1MBM7CyZbwJpVbbZJnHHRg,,4:12,65
2007,40,You,"Lloyd, Lil Wayne",5Y77SQxEr1eiofPeUTPHxM,r&b,4:33,75
2007,41,Wait For You,Myles Smith,0JjecOzaIzBTfIY35QGmgw,,3:21,73
2007,42,Last Night,Morgan Wallen,59uQI0PADDKeE6UZDTJEe8,country,2:43,75
2007,43,Make It Rain,Foy Vance,6eoilldRAmDz7IOEvFizIW,,4:51,44
2007,44,Make Me Better,"Fabolous, Ne-Yo",0YkJU6TjjwzsVXUPRIO0DB,,4:13,57
2007,45,Ice Box,Omarion,5qhlC4Rzals34zxovrPzKp,r&b,4:16,57
2007,46,Lips Of An Angel,Hinder,40LQiUUUKXVGyNs09lHVjW,post-grunge,4:21,73
2007,47,Waiting On the World to Change,John Mayer,5imShWWzwqfAJ9gXFpGAQh,singer-songwriter,3:21,72
2007,48,Lost Without U,Robin Thicke,4V2F0DZrAXOWq9hkwMMG3x,,4:14,63
2007,49,I'm a Flirt Remix (feat. T.I. & T-Pain),"R. Kelly, T.I., T-Pain",6w1DBbA8akxHPiBQ6nAyJq,r&b,5:30,57
2007,50,If Everyone Cared - 2020 Remaster,Nickelback,0SRqIW98aSU2w3pAdKUMGB,"post-grunge, rock",3:37,61
2007,51,Get It Shawty,Lloyd,2a03afRiyAbNAleOByVju4,r&b,3:29,63
2007,52,Face Down,The Red Jumpsuit Apparatus,4wzjNqjKAKDU82e8uMhzmr,"pop punk, emo",3:12,74
2007,53,The Way I Live,"Baby Boy Da Prince, Boosie Badazz",68Zq7PMcPIQE8ol1x3gAqw,,5:24,54
2007,54,Shortie Like Mine (feat. Chris Brown & Johntá Austin),"Bow Wow, Chris Brown, Johnta Austin",6oUGAx0vkBcnGzYkvw0ZsA,r&b,4:28,60
2007,55,It Ends Tonight,The All-American Rejects,1FMHNVeJ9s1x1l1WlaRs2I,"pop punk, emo",4:04,57
2007,56,A Bay Bay,Hurricane Chris,6oaRryJqMWpEHt99ViMX0c,"southern hip hop, crunk",5:06,42
2007,57,Because Of You,Ne-Yo,6CFPFnS9EcLs2I0nWqtWci,,4:26,74
2007,58,I Tried,"Bone Thugs-N-Harmony, Akon",2elA6JLRaQ6iB7hxiuTKN4,"gangster rap, g-funk",4:47,60
2007,59,Welcome to the Black Parade,My Chemical Romance,5wQnmLuC1W7ATsArWACrgW,"emo, pop punk",5:11,76
2007,60,Shawty (feat. T Pain),"Plies, T-Pain",0mYoKqA23wUUj7BTEgNzjg,southern hip hop,4:15,59
2007,61,Chasing Cars,Snow Patrol,5hnyJvgoWiQUYZttV4wXy6,,4:27,80
2007,62,Beautiful Liar,"Beyoncé, Shakira",2HWWNoWEEEECwZhAiLg7ib,,3:19,67
2007,63,SexyBack (feat. Timbaland),"Justin Timberlake, Timbaland",0O45fw2L5vsWpdsOdXwNAR,,4:02,79
2007,64,Keep Holding On,Avril Lavigne,4UPcXTh26ilb7owtuyHqNI,,3:59,60
2007,65,"Let It Go - From ""Frozen""/Soundtrack Version",Idina Menzel,0qcr5FMsEO85NAQjrlDRKo,musicals,3:43,75
2007,66,Apologize,"Timbaland, OneRepublic",6ucR4KfvsBFWCMVFDvyKKl,,3:04,72
2007,67,Bubbly,Colbie Caillat,0rFOs9paloAvEtzwDX1Kmc,,3:16,65
2007,68,Like A Boy,Priscilla Block,1ibBdYjfVVqFOA04Q0NnJ6,country,3:43,42
2007,69,Who Knew - Edit,P!nk,2hns6Dv29Yrg68AVTJiAyA,,3:28,75
2007,70,Never Again,Russ,4XkCSv4XGYhVoPu3lGjHLs,,3:33,59
2007,71,Promise,Laufey,08PdFBcXzpkn1cWNgmKqhn,,3:54,77
2007,72,Bed Chem,Sabrina Carpenter,1UHS8Rf6h5Ar3CDWRd3wjF,,2:51,87
2007,73,Throw Some D's,"Rich Boy, Polow Da Don",6SmPPtaMnfxgz5duA6t9Cu,"southern hip hop, crunk",4:23,56
2007,74,Rehab (Winter In Paris),Brent Faiyaz,0zWbYGQq5O1KQd0iqzgjP6,r&b,3:00,71
2007,75,Big Things Poppin' (Do It) - Instrumental,T.I.,0eMdAjfAfGS1AoeXgiyGXP,southern hip hop,4:49,19
2007,76,No One Noticed,The Marías,3siwsiaEoU4Kuuc9WKMUy5,bedroom pop,3:56,87
2007,77,The Great Escape,BOYS LIKE GIRLS,56Tl3UgyZTqfZtvFNS31wm,"pop punk, emo, emo pop",3:26,59
2007,78,2 Step,Unk,3rALMatm3fRoubDlouWRpi,"crunk, southern hip hop",3:15,44
2007,79,Walk Away (Remember Me) (feat. The DEY),"Paula DeAnda, The DEY",0Sc9UwBpChiRKRF8DKvWKZ,,3:58,51
2007,80,Go Getta,"Jeezy, R. Kelly",03b1NUHnoavfpLLKcEMfIb,"southern hip hop, crunk, rap, gangster rap",3:49,48
2007,81,Here (In Your Arms),Hellogoodbye,1GV98LUEVk1U3LWAkX2Apw,,4:00,56
2007,82,On the Hotline - Amended Version,Pretty Ricky,1zyqZONW985Cs4osz9wlsu,r&b,4:02,57
2007,83,Wind It Up,Gwen Stefani,1GeECVH4Msg1zLm8DExkbH,,3:09,50
2007,84,Cyclone (feat. T-Pain) - Main,"Baby Bash, T-Pain",0x1LCpY9Rgeq97VPajm81B,,3:42,63
2007,85,Break It Off,PinkPantheress,0DwVfCYLrVXgvejYbWwZAd,bedroom pop,1:35,61
2007,86,First Time,TEEKS,5opWaIeDfBClUVlde1kvO4,,5:09,46
2007,87,Ayo Technology,"50 Cent, Justin Timberlake, Timbaland",36Hwcla06Q5BCr59CL0sBp,east coast hip hop,4:07,57
2007,88,Outta My System (feat. T-Pain & Johntá Austin),"Bow Wow, T-Pain, Johnta Austin",3LGeYNY9aWQuBJovOOowqm,r&b,3:58,54
2007,89,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,7zMcNqs55Mxer82bvZFkpg,,3:23,59
2007,90,Shut Up And Drive,Rihanna,4Tn2llBm1g0UlWctmgPL8Z,,3:32,68
2007,91,Snow (Hey Oh),Red Hot Chili Peppers,2aibwv5hGXSgw7Yru8IYTO,"funk rock, alternative rock, rock",5:34,76
2007,92,Money Maker,"Ludacris, Pharrell Williams",2JpUkUR0OsOlUUfm6iS8ic,southern hip hop,3:50,56
